gse_id	split_id	split_path	audit_role	time_group	tissue	time_h	n_samples	n_controls	n_delivery	mean_max_contribution_fraction	median_max_contribution_fraction	max_max_contribution_fraction	control_median_max_contribution_fraction	delivery_median_max_contribution_fraction	dominant_gene_id_mode	dominant_gene_symbol_mode	n_unique_top_contributors	pass	fail_reason
GSE264344	GSE264344_design__T=dLN__H=3__B=NA__G=delivery_ad5__VS=baseline_0	<upstream_project_root>/00_metadata/verified_metadata/splited/GSE264344_design/GSE264344_design__T=dLN__H=3__B=NA__G=delivery_ad5__VS=baseline_0.tsv	anchor	acute_main	dLN	3	10	5	5	0.027435416993037507	0.02422176166715126	0.04195581754633288	0.021734876015377543	0.03454180292527313	ENSMUSG00000022126	Acod1	5	TRUE	NA
GSE264344	GSE264344_design__T=dLN__H=6__B=NA__G=delivery_ad26__VS=baseline_0	<upstream_project_root>/00_metadata/verified_metadata/splited/GSE264344_design/GSE264344_design__T=dLN__H=6__B=NA__G=delivery_ad26__VS=baseline_0.tsv	anchor	acute_main	dLN	6	10	5	5	0.02536676663650892	0.0261542718656649	0.03082795995805181	0.021734876015377543	0.030605841013130953	ENSMUSG00000022126	Acod1	4	TRUE	NA
GSE264344	GSE264344_design__T=dLN__H=6__B=NA__G=delivery_ad5__VS=baseline_0	<upstream_project_root>/00_metadata/verified_metadata/splited/GSE264344_design/GSE264344_design__T=dLN__H=6__B=NA__G=delivery_ad5__VS=baseline_0.tsv	anchor	acute_main	dLN	6	10	5	5	0.025150392761396738	0.025994680130278305	0.03100097027740725	0.021734876015377543	0.02998397663046356	ENSMUSG00000022126	Acod1	4	TRUE	NA
GSE264344	GSE264344_design__T=dLN__H=72__B=NA__G=delivery_ad26__VS=baseline_0	<upstream_project_root>/00_metadata/verified_metadata/splited/GSE264344_design/GSE264344_design__T=dLN__H=72__B=NA__G=delivery_ad26__VS=baseline_0.tsv	external	extended_transfer	dLN	72	10	5	5	0.028658613617917664	0.027042510382278326	0.04068174382329548	0.021734876015377543	0.03934750115916513	ENSMUSG00000022126	Acod1	4	TRUE	NA
GSE264344	GSE264344_design__T=dLN__H=72__B=NA__G=delivery_ad5__VS=baseline_0	<upstream_project_root>/00_metadata/verified_metadata/splited/GSE264344_design/GSE264344_design__T=dLN__H=72__B=NA__G=delivery_ad5__VS=baseline_0.tsv	external	extended_transfer	dLN	72	10	5	5	0.030308494285996967	0.02979645679496184	0.044156319260470374	0.021734876015377543	0.04116448342681592	ENSMUSG00000022126	Acod1	4	TRUE	NA
GSE264344	GSE264344_design__T=Muscle__H=1__B=NA__G=delivery_ad26__VS=baseline_0	<upstream_project_root>/00_metadata/verified_metadata/splited/GSE264344_design/GSE264344_design__T=Muscle__H=1__B=NA__G=delivery_ad26__VS=baseline_0.tsv	anchor	acute_main	Muscle	1	10	5	5	0.02675983714479259	0.026311317193271684	0.04416317958206724	0.013072286950755319	0.04113905693086072	ENSMUSG00000022126	Acod1	5	TRUE	NA
GSE264344	GSE264344_design__T=Muscle__H=1__B=NA__G=delivery_ad5__VS=baseline_0	<upstream_project_root>/00_metadata/verified_metadata/splited/GSE264344_design/GSE264344_design__T=Muscle__H=1__B=NA__G=delivery_ad5__VS=baseline_0.tsv	anchor	acute_main	Muscle	1	10	5	5	0.022273936198991814	0.019291930234683362	0.03890128014514806	0.013072286950755319	0.03136025437640078	ENSMUSG00000022126	Acod1	6	TRUE	NA
GSE264344	GSE264344_design__T=Muscle__H=12__B=NA__G=delivery_ad26__VS=baseline_0	<upstream_project_root>/00_metadata/verified_metadata/splited/GSE264344_design/GSE264344_design__T=Muscle__H=12__B=NA__G=delivery_ad26__VS=baseline_0.tsv	anchor	acute_main	Muscle	12	10	5	5	0.02547469830737046	0.02547707496916396	0.04097313836644477	0.013072286950755319	0.038606621072468914	ENSMUSG00000022126	Acod1	6	TRUE	NA
GSE264344	GSE264344_design__T=Muscle__H=12__B=NA__G=delivery_ad5__VS=baseline_0	<upstream_project_root>/00_metadata/verified_metadata/splited/GSE264344_design/GSE264344_design__T=Muscle__H=12__B=NA__G=delivery_ad5__VS=baseline_0.tsv	anchor	acute_main	Muscle	12	10	5	5	0.02637212557529781	0.027122330913537794	0.04374671418869468	0.013072286950755319	0.03935213146106719	ENSMUSG00000022126	Acod1	5	TRUE	NA
GSE264344	GSE264344_design__T=Muscle__H=24__B=NA__G=delivery_ad26__VS=baseline_0	<upstream_project_root>/00_metadata/verified_metadata/splited/GSE264344_design/GSE264344_design__T=Muscle__H=24__B=NA__G=delivery_ad26__VS=baseline_0.tsv	anchor	acute_main	Muscle	24	10	5	5	0.02602198293852111	0.026481437094787202	0.04214273909629023	0.013072286950755319	0.03854939298144628	ENSMUSG00000022126	Acod1	6	TRUE	NA
GSE264344	GSE264344_design__T=Muscle__H=24__B=NA__G=delivery_ad5__VS=baseline_0	<upstream_project_root>/00_metadata/verified_metadata/splited/GSE264344_design/GSE264344_design__T=Muscle__H=24__B=NA__G=delivery_ad5__VS=baseline_0.tsv	anchor	acute_main	Muscle	24	10	5	5	0.02565562371862251	0.02432176440567372	0.04243919330716593	0.013072286950755319	0.03769632838280534	ENSMUSG00000022126	Acod1	6	TRUE	NA
GSE264344	GSE264344_design__T=Muscle__H=3__B=NA__G=delivery_ad26__VS=baseline_0	<upstream_project_root>/00_metadata/verified_metadata/splited/GSE264344_design/GSE264344_design__T=Muscle__H=3__B=NA__G=delivery_ad26__VS=baseline_0.tsv	anchor	acute_main	Muscle	3	10	5	5	0.02882738148133097	0.027442344745831668	0.05276555121749458	0.013072286950755319	0.043856451105563375	ENSMUSG00000022126	Acod1	5	TRUE	NA
GSE264344	GSE264344_design__T=Muscle__H=3__B=NA__G=delivery_ad5__VS=baseline_0	<upstream_project_root>/00_metadata/verified_metadata/splited/GSE264344_design/GSE264344_design__T=Muscle__H=3__B=NA__G=delivery_ad5__VS=baseline_0.tsv	anchor	acute_main	Muscle	3	10	5	5	0.03301722265061734	0.027858615951966488	0.07109163505866084	0.013072286950755319	0.053306729167284114	ENSMUSG00000022126	Acod1	5	TRUE	NA
