gene	weight	beta_meta	se_meta	I2	power	penalty_het	penalty_power	penalty_final	beta_capped	cap_c	capped_flag
ENSMUSG00000034855.14	0.794990753600152	4.612796832918611	0.06470744406239186	0.9850343765183488	1	0.014965623481651202	1	0.2	3.97495376800076	3.97495376800076	TRUE
ENSMUSG00000035385.6	0.794990753600152	4.6635139717927325	0.05043749080032317	0.995230202821664	1	0.004769797178336033	1	0.2	3.97495376800076	3.97495376800076	TRUE
ENSMUSG00000040026.9	0.794990753600152	4.397792528205895	0.12605822892698787	0.9447280265212924	0.9999999988344782	0.0552719734787076	1	0.2	3.97495376800076	3.97495376800076	TRUE
ENSMUSG00000050578.11	0.794990753600152	4.342772097488057	0.10873092085162736	0.8556977117886678	0.99999999999977085	0.14430228821133217	1	0.2	3.97495376800076	3.97495376800076	TRUE
ENSMUSG00000052485.8	0.794990753600152	4.404983306498316	0.1588349824893526	0.8775954681810804	0.9999927410374254	0.12240453181891964	1	0.2	3.97495376800076	3.97495376800076	TRUE
ENSMUSG00000060183.8	0.794990753600152	6.0257926459264395	0.08780473297184399	0.9754511006639168	1	0.024548899336083174	1	0.2	3.97495376800076	3.97495376800076	TRUE
ENSMUSG00000138247.1	0.794990753600152	4.118168331717115	0.07450463359175158	0.8808328293136032	1	0.11916717068639682	1	0.2	3.97495376800076	3.97495376800076	TRUE
ENSMUSG00000035373.3	0.794990753600152	4.080173963641654	0.06764861513827454	0.9887869699699784	1	0.011213030030021609	1	0.2	3.97495376800076	3.97495376800076	TRUE
ENSMUSG00000085295.9	0.794990753600152	4.495088843307157	0.10719605782519932	0.9151503293595415	0.9999999999999138	0.08484967064045845	1	0.2	3.97495376800076	3.97495376800076	TRUE
ENSMUSG00000111078.3	0.794990753600152	4.2332077695080725	0.1660632182971519	0.8560828251646307	0.9999756561843935	0.14391717483536925	1	0.2	3.97495376800076	3.97495376800076	TRUE
ENSMUSG00000040328.18	0.7789891243399822	3.894945621699911	0.05571307804678153	0.9695103537253406	1	0.030489646274659443	1	0.2	3.894945621699911	3.97495376800076	FALSE
ENSMUSG00000034459.9	0.7617553723216731	3.8087768616083655	0.0564594319798437	0.9761549540997396	1	0.023845045900260375	1	0.2	3.8087768616083655	3.97495376800076	FALSE
ENSMUSG00000105096.2	0.7550906526068049	3.775453263034024	0.06140703670083893	0.9827473574407224	1	0.01725264255927761	1	0.2	3.775453263034024	3.97495376800076	FALSE
ENSMUSG00000074896.4	0.7482957518242245	3.7414787591211223	0.04532962161577791	0.9701267207337678	1	0.029873279266232178	1	0.2	3.7414787591211223	3.97495376800076	FALSE
ENSMUSG00000068606.7	0.7479457040841261	3.73972852042063	0.05636665791721543	0.9780521674449556	1	0.0219478325550444	1	0.2	3.73972852042063	3.97495376800076	FALSE
ENSMUSG00000068417.9	0.7421115873023575	2.2580529061731185	0.08598734214052828	0.6713488929893736	1	0.3286511070106264	1	0.3286511070106264	2.2580529061731185	3.97495376800076	FALSE
ENSMUSG00000072844.8	0.7378865278972045	2.8049379391410327	0.06246749709925819	0.736933028855829	1	0.263066971144171	1	0.263066971144171	2.8049379391410327	3.97495376800076	FALSE
ENSMUSG00000092021.10	0.7335295660702429	3.667647830351214	0.05320135278329659	0.9773180632390088	1	0.022681936760991173	1	0.2	3.667647830351214	3.97495376800076	FALSE
ENSMUSG00000023341.17	0.7177987879467844	3.588993939733922	0.04890210993643695	0.9713436465019856	1	0.02865635349801443	1	0.2	3.588993939733922	3.97495376800076	FALSE
ENSMUSG00000085977.2	0.7013878073349792	3.5069390366748956	0.0877503941622805	0.9561653010797744	1	0.04383469892022562	1	0.2	3.5069390366748956	3.97495376800076	FALSE
ENSMUSG00000028037.14	0.7004586966179914	3.502293483089957	0.04939730999506008	0.9469227104880736	1	0.05307728951192636	1	0.2	3.502293483089957	3.97495376800076	FALSE
ENSMUSG00000116639.2	0.6980339371523081	2.4895340866287503	0.1229880195684464	0.7196126211320272	0.999999999660508	0.2803873788679728	1	0.2803873788679728	2.4895340866287503	3.97495376800076	FALSE
ENSMUSG00000041827.16	0.6887777581711488	3.443888790855744	0.04397972882212547	0.962934179386698	1	0.03706582061330199	1	0.2	3.443888790855744	3.97495376800076	FALSE
ENSMUSG00000062488.10	0.6791184095876251	3.3955920479381256	0.04507168819329391	0.984905775002546	1	0.015094224997454053	1	0.2	3.3955920479381256	3.97495376800076	FALSE
ENSMUSG00000000386.19	0.6542058849759632	3.2710294248798157	0.04421476764989623	0.9881336663326128	1	0.011866333667387208	1	0.2	3.2710294248798157	3.97495376800076	FALSE
ENSMUSG00000035692.8	0.6363453377279414	3.181726688639707	0.05587715795219401	0.9696801259508642	1	0.03031987404913583	1	0.2	3.181726688639707	3.97495376800076	FALSE
ENSMUSG00000066861.15	0.6274904930098378	3.137452465049189	0.0656367430718421	0.9561701439147302	1	0.04382985608526979	1	0.2	3.137452465049189	3.97495376800076	FALSE
ENSMUSG00000026981.16	0.6191400520769164	3.095700260384582	0.04726080117759407	0.9781736724398338	1	0.021826327560166225	1	0.2	3.095700260384582	3.97495376800076	FALSE
ENSMUSG00000079339.8	0.606691700213821	3.033458501069105	0.03795552510781951	0.9906613368004032	1	0.009338663199596753	1	0.2	3.033458501069105	3.97495376800076	FALSE
ENSMUSG00000015437.6	0.6031660644269488	3.0158303221347436	0.03983051606130371	0.9376759086926296	1	0.06232409130737038	1	0.2	3.0158303221347436	3.97495376800076	FALSE
ENSMUSG00000044703.6	0.5969985316896651	2.9849926584483253	0.04091388009714844	0.9305210552444818	1	0.06947894475551819	1	0.2	2.9849926584483253	3.97495376800076	FALSE
ENSMUSG00000087477.4	0.5935594503058278	2.967797251529139	0.09435679784668057	0.8148285770436967	1	0.1851714229563033	1	0.2	2.967797251529139	3.97495376800076	FALSE
ENSMUSG00000141112.1	0.5915230540293376	2.957615270146688	0.06872176488546305	0.93403685654523	1	0.06596314345476995	1	0.2	2.957615270146688	3.97495376800076	FALSE
ENSMUSG00000032661.10	0.584622828616129	2.923114143080645	0.04298208806959604	0.9487617286162484	1	0.05123827138375159	1	0.2	2.923114143080645	3.97495376800076	FALSE
ENSMUSG00000086527.2	0.5746295678337454	2.794697444903214	0.07985460727697796	0.7943857683479415	1	0.2056142316520585	1	0.2056142316520585	2.794697444903214	3.97495376800076	FALSE
ENSMUSG00000139273.1	0.5728935718700672	1.854073625165283	0.05210329576711161	0.6910081864634712	1	0.3089918135365288	1	0.3089918135365288	1.854073625165283	3.97495376800076	FALSE
ENSMUSG00000029417.10	0.5706233701466863	2.8531168507334312	0.04396151873766016	0.9881763874657216	1	0.011823612534278438	1	0.2	2.8531168507334312	3.97495376800076	FALSE
ENSMUSG00000045932.13	0.5705341316346664	2.8526706581733317	0.04101391397577512	0.9799883225489264	1	0.020011677451073573	1	0.2	2.8526706581733317	3.97495376800076	FALSE
ENSMUSG00000020638.9	0.5700780355826705	2.850390177913352	0.03499827409639178	0.9906723529935694	1	0.009327647006430628	1	0.2	2.850390177913352	3.97495376800076	FALSE
ENSMUSG00000035352.4	0.5656929300776021	2.8284646503880104	0.05710898761476546	0.947438716837366	1	0.052561283162633976	1	0.2	2.8284646503880104	3.97495376800076	FALSE
ENSMUSG00000048852.14	0.5590114308406622	2.795057154203311	0.04016145439990799	0.9830946130205428	1	0.016905386979457204	1	0.2	2.795057154203311	3.97495376800076	FALSE
ENSMUSG00000030107.11	0.5589363284984052	2.794681642492026	0.03516038314416338	0.9428821585932156	1	0.05711784140678444	1	0.2	2.794681642492026	3.97495376800076	FALSE
ENSMUSG00000134402.1	0.5575590792601173	2.787795396300586	0.03978732388465119	0.96076097586135	1	0.03923902413864999	1	0.2	2.787795396300586	3.97495376800076	FALSE
ENSMUSG00000122042.1	0.556689516872735	2.783447584363675	0.08041002161649316	0.8877479735411238	1	0.11225202645887622	1	0.2	2.783447584363675	3.97495376800076	FALSE
ENSMUSG00000039236.19	0.5548984475514057	2.7744922377570287	0.04456179586499092	0.896941623829455	1	0.10305837617054503	1	0.2	2.7744922377570287	3.97495376800076	FALSE
ENSMUSG00000053338.10	0.5542921002320144	2.7714605011600715	0.0813625964956829	0.9784023086864448	1	0.021597691313555156	1	0.2	2.7714605011600715	3.97495376800076	FALSE
ENSMUSG00000078922.10	0.5530721037120011	2.7653605185600054	0.04287895561349954	0.9860484050358358	1	0.013951594964164205	1	0.2	2.7653605185600054	3.97495376800076	FALSE
ENSMUSG00000052776.11	0.550107458849233	2.7505372942461648	0.04497088705793064	0.9582727144482304	1	0.04172728555176963	1	0.2	2.7505372942461648	3.97495376800076	FALSE
ENSMUSG00000058163.15	0.5501028260407831	2.7505141302039156	0.04129292750149235	0.9024622954066538	1	0.09753770459334621	1	0.2	2.7505141302039156	3.97495376800076	FALSE
ENSMUSG00000039699.15	0.5496838941814739	2.7484194709073693	0.05900595885602763	0.9487313220000748	1	0.05126867799992518	1	0.2	2.7484194709073693	3.97495376800076	FALSE
