gse_id	split_id	split_path	manuscript_role	manuscript_interpretation_group	manuscript_interpretation_label	contrast_label	control_label	tissue	time_h	score_id	score_label	delta_score	cohens_d	auc_secondary	n_controls	n_delivery	pass
GSE264344	GSE264344_design__T=dLN__H=3__B=NA__G=delivery_ad5__VS=baseline_0	<upstream_project_root>/00_metadata/verified_metadata/splited/GSE264344_design/GSE264344_design__T=dLN__H=3__B=NA__G=delivery_ad5__VS=baseline_0.tsv	anchor	strict_anchor	Locked anchor (production)	delivery_ad5__vs__baseline_0	baseline_0	dLN	3	IMRS	IMRS	2.7627049595948865	4.8316607239141875	1	5	5	TRUE
GSE264344	GSE264344_design__T=dLN__H=6__B=NA__G=delivery_ad26__VS=baseline_0	<upstream_project_root>/00_metadata/verified_metadata/splited/GSE264344_design/GSE264344_design__T=dLN__H=6__B=NA__G=delivery_ad26__VS=baseline_0.tsv	anchor	strict_anchor	Locked anchor (production)	delivery_ad26__vs__baseline_0	baseline_0	dLN	6	IMRS	IMRS	5.703930536988686	18.37627731023707	1	5	5	TRUE
GSE264344	GSE264344_design__T=dLN__H=6__B=NA__G=delivery_ad5__VS=baseline_0	<upstream_project_root>/00_metadata/verified_metadata/splited/GSE264344_design/GSE264344_design__T=dLN__H=6__B=NA__G=delivery_ad5__VS=baseline_0.tsv	anchor	strict_anchor	Locked anchor (production)	delivery_ad5__vs__baseline_0	baseline_0	dLN	6	IMRS	IMRS	5.288429542245774	12.29318739623324	1	5	5	TRUE
GSE264344	GSE264344_design__T=dLN__H=72__B=NA__G=delivery_ad26__VS=baseline_0	<upstream_project_root>/00_metadata/verified_metadata/splited/GSE264344_design/GSE264344_design__T=dLN__H=72__B=NA__G=delivery_ad26__VS=baseline_0.tsv	extended_validation	extended_validation	Extended validation	delivery_ad26__vs__baseline_0	baseline_0	dLN	72	IMRS	IMRS	0.3932971804473866	1.2746924365133967	0.8	5	5	TRUE
GSE264344	GSE264344_design__T=dLN__H=72__B=NA__G=delivery_ad5__VS=baseline_0	<upstream_project_root>/00_metadata/verified_metadata/splited/GSE264344_design/GSE264344_design__T=dLN__H=72__B=NA__G=delivery_ad5__VS=baseline_0.tsv	extended_validation	extended_validation	Extended validation	delivery_ad5__vs__baseline_0	baseline_0	dLN	72	IMRS	IMRS	0.4507210263939263	1.4210315414659414	0.8	5	5	TRUE
GSE264344	GSE264344_design__T=Muscle__H=1__B=NA__G=delivery_ad26__VS=baseline_0	<upstream_project_root>/00_metadata/verified_metadata/splited/GSE264344_design/GSE264344_design__T=Muscle__H=1__B=NA__G=delivery_ad26__VS=baseline_0.tsv	anchor	strict_anchor	Locked anchor (production)	delivery_ad26__vs__baseline_0	baseline_0	Muscle	1	IMRS	IMRS	0.5752137463208833	2.824333195228528	1	5	5	TRUE
GSE264344	GSE264344_design__T=Muscle__H=1__B=NA__G=delivery_ad5__VS=baseline_0	<upstream_project_root>/00_metadata/verified_metadata/splited/GSE264344_design/GSE264344_design__T=Muscle__H=1__B=NA__G=delivery_ad5__VS=baseline_0.tsv	anchor	strict_anchor	Locked anchor (production)	delivery_ad5__vs__baseline_0	baseline_0	Muscle	1	IMRS	IMRS	0.5210164970803043	2.3019451334806167	0.96	5	5	TRUE
GSE264344	GSE264344_design__T=Muscle__H=12__B=NA__G=delivery_ad26__VS=baseline_0	<upstream_project_root>/00_metadata/verified_metadata/splited/GSE264344_design/GSE264344_design__T=Muscle__H=12__B=NA__G=delivery_ad26__VS=baseline_0.tsv	anchor	strict_anchor	Locked anchor (production)	delivery_ad26__vs__baseline_0	baseline_0	Muscle	12	IMRS	IMRS	4.379052454232406	9.657282405125711	1	5	5	TRUE
GSE264344	GSE264344_design__T=Muscle__H=12__B=NA__G=delivery_ad5__VS=baseline_0	<upstream_project_root>/00_metadata/verified_metadata/splited/GSE264344_design/GSE264344_design__T=Muscle__H=12__B=NA__G=delivery_ad5__VS=baseline_0.tsv	anchor	strict_anchor	Locked anchor (production)	delivery_ad5__vs__baseline_0	baseline_0	Muscle	12	IMRS	IMRS	4.561337243094393	8.419468467737993	1	5	5	TRUE
GSE264344	GSE264344_design__T=Muscle__H=24__B=NA__G=delivery_ad26__VS=baseline_0	<upstream_project_root>/00_metadata/verified_metadata/splited/GSE264344_design/GSE264344_design__T=Muscle__H=24__B=NA__G=delivery_ad26__VS=baseline_0.tsv	anchor	strict_anchor	Locked anchor (production)	delivery_ad26__vs__baseline_0	baseline_0	Muscle	24	IMRS	IMRS	3.5649069751207745	6.727938415890762	1	5	5	TRUE
GSE264344	GSE264344_design__T=Muscle__H=24__B=NA__G=delivery_ad5__VS=baseline_0	<upstream_project_root>/00_metadata/verified_metadata/splited/GSE264344_design/GSE264344_design__T=Muscle__H=24__B=NA__G=delivery_ad5__VS=baseline_0.tsv	anchor	strict_anchor	Locked anchor (production)	delivery_ad5__vs__baseline_0	baseline_0	Muscle	24	IMRS	IMRS	3.5245362334746155	3.712253239402655	1	5	5	TRUE
GSE264344	GSE264344_design__T=Muscle__H=3__B=NA__G=delivery_ad26__VS=baseline_0	<upstream_project_root>/00_metadata/verified_metadata/splited/GSE264344_design/GSE264344_design__T=Muscle__H=3__B=NA__G=delivery_ad26__VS=baseline_0.tsv	anchor	strict_anchor	Locked anchor (production)	delivery_ad26__vs__baseline_0	baseline_0	Muscle	3	IMRS	IMRS	3.166868738099831	6.695682259492362	1	5	5	TRUE
GSE264344	GSE264344_design__T=Muscle__H=3__B=NA__G=delivery_ad5__VS=baseline_0	<upstream_project_root>/00_metadata/verified_metadata/splited/GSE264344_design/GSE264344_design__T=Muscle__H=3__B=NA__G=delivery_ad5__VS=baseline_0.tsv	anchor	strict_anchor	Locked anchor (production)	delivery_ad5__vs__baseline_0	baseline_0	Muscle	3	IMRS	IMRS	1.8285090170879783	4.0672282519912235	1	5	5	TRUE
GSE264344	GSE264344_design__T=Muscle__H=6__B=NA__G=delivery_ad26__VS=baseline_0	<upstream_project_root>/00_metadata/verified_metadata/splited/GSE264344_design/GSE264344_design__T=Muscle__H=6__B=NA__G=delivery_ad26__VS=baseline_0.tsv	anchor	strict_anchor	Locked anchor (production)	delivery_ad26__vs__baseline_0	baseline_0	Muscle	6	IMRS	IMRS	4.409334481944208	10.180798952964905	1	5	5	TRUE
GSE264344	GSE264344_design__T=Muscle__H=6__B=NA__G=delivery_ad5__VS=baseline_0	<upstream_project_root>/00_metadata/verified_metadata/splited/GSE264344_design/GSE264344_design__T=Muscle__H=6__B=NA__G=delivery_ad5__VS=baseline_0.tsv	anchor	strict_anchor	Locked anchor (production)	delivery_ad5__vs__baseline_0	baseline_0	Muscle	6	IMRS	IMRS	4.115105313956205	5.507797034889705	1	5	5	TRUE
GSE264344	GSE264344_design__T=Muscle__H=72__B=NA__G=delivery_ad26__VS=baseline_0	<upstream_project_root>/00_metadata/verified_metadata/splited/GSE264344_design/GSE264344_design__T=Muscle__H=72__B=NA__G=delivery_ad26__VS=baseline_0.tsv	extended_validation	extended_validation	Extended validation	delivery_ad26__vs__baseline_0	baseline_0	Muscle	72	IMRS	IMRS	1.0550234100660878	2.508898915295741	0.96	5	5	TRUE
GSE264344	GSE264344_design__T=Muscle__H=72__B=NA__G=delivery_ad5__VS=baseline_0	<upstream_project_root>/00_metadata/verified_metadata/splited/GSE264344_design/GSE264344_design__T=Muscle__H=72__B=NA__G=delivery_ad5__VS=baseline_0.tsv	extended_validation	extended_validation	Extended validation	delivery_ad5__vs__baseline_0	baseline_0	Muscle	72	IMRS	IMRS	1.441223145245387	2.937235134723757	1	5	5	TRUE
GSE279744	GSE279744_design__T=lymph_node__H=6__B=NA__G=delivery_vaccination_with_sm102__VS=baseline_0	<upstream_project_root>/00_metadata/verified_metadata/splited/GSE279744_design/GSE279744_design__T=lymph_node__H=6__B=NA__G=delivery_vaccination_with_sm102__VS=baseline_0.tsv	anchor	strict_anchor	Locked anchor (production)	delivery_vaccination_with_sm102__vs__baseline_0	baseline_0	lymph node	6	IMRS	IMRS	56.61527045924109	29.300818348701345	1	3	3	TRUE
GSE279744	GSE279744_design__T=lymph_node__H=6__B=NA__G=delivery_vaccination_with_ssop__VS=baseline_0	<upstream_project_root>/00_metadata/verified_metadata/splited/GSE279744_design/GSE279744_design__T=lymph_node__H=6__B=NA__G=delivery_vaccination_with_ssop__VS=baseline_0.tsv	anchor	strict_anchor	Locked anchor (production)	delivery_vaccination_with_ssop__vs__baseline_0	baseline_0	lymph node	6	IMRS	IMRS	13.680287410826422	10.866750708017287	1	3	3	TRUE
GSE262515_tissue	GSE262515_design__T=tissue__H=72__B=NA__G=delivery_tlnp_sihbv_1mg_kg__VS=baseline_0	<upstream_project_root>/00_metadata/verified_metadata/splited/GSE262515_tissue_design/GSE262515_design__T=tissue__H=72__B=NA__G=delivery_tlnp_sihbv_1mg_kg__VS=baseline_0.tsv	secondary_support	secondary_support_not_primary	Secondary support	delivery_tlnp_sihbv_1mg_kg__vs__baseline_0	baseline_0	tissue	72	IMRS	IMRS	1.0413601243524528	1.1873173485442483	0.8888888888888888	3	3	TRUE
GSE262515_tissue	GSE262515_design__T=tissue__H=72__B=NA__G=delivery_tlnp_sihbv_2_5mg_kg__VS=baseline_0	<upstream_project_root>/00_metadata/verified_metadata/splited/GSE262515_tissue_design/GSE262515_design__T=tissue__H=72__B=NA__G=delivery_tlnp_sihbv_2_5mg_kg__VS=baseline_0.tsv	secondary_support	secondary_support_not_primary	Secondary support	delivery_tlnp_sihbv_2_5mg_kg__vs__baseline_0	baseline_0	tissue	72	IMRS	IMRS	0.5621390394308718	0.7190684758418003	0.6666666666666666	3	3	TRUE
