gene_id	datasets_used	k_datasets_used	beta_meta	se_meta	sum_w	k	Q	df	I2	phase	is_core	heterogeneity_flag
ENSMUSG00000054978.4	GSE167521;GSE264344;GSE279372;GSE39129	4	-0.5408015209717235	0.041667834809080755	575.967704556666	4	3.5535646195244612	3	0.1557772768456197	anchor	FALSE	FALSE
ENSMUSG00000031952.6	GSE167521;GSE264344;GSE279744	3	1.2614710020041993	0.5527607392325272	3.272846388231008	3	2.3688888110992914	2	0.155722298729634	anchor	FALSE	FALSE
ENSMUSG00000039178.10	GSE167521;GSE264344;GSE279372;GSE279744;GSE39129	5	-0.2540454597221694	0.027175984878257575	1354.0335195657715	5	4.737686462999962	4	0.15570605373764007	anchor	FALSE	FALSE
ENSMUSG00000056531.12	GSE167521;GSE264344;GSE279372;GSE279744;GSE39129	5	0.02625842231930871	0.06395009074796733	244.52184825170735	5	4.737008299750216	4	0.155585182274027	anchor	FALSE	FALSE
ENSMUSG00000050323.15	GSE167521;GSE264344;GSE279372;GSE279744;GSE39129	5	-0.009076355953513714	0.03168078486989853	996.3413052299347	5	4.736074335220231	4	0.1554186617693792	anchor	FALSE	FALSE
ENSMUSG00000129667.1	GSE167521;GSE264344;GSE279372;GSE279744;GSE39129	5	-0.009580967128191079	0.08429313855577687	140.73935321326206	5	4.734989049283477	4	0.155225079009359	anchor	FALSE	FALSE
ENSMUSG00000014704.11	GSE167521;GSE264344;GSE279372;GSE39129	4	-0.6962505375759195	0.08201296361643086	148.67398709067086	4	3.5512021210958147	3	0.15521564312586272	anchor	FALSE	FALSE
ENSMUSG00000121209.2	GSE167521;GSE264344;GSE279372	3	-0.140540201147503	0.11507211721259983	75.5196193881141	3	2.3671879632906068	2	0.15511567690644307	anchor	FALSE	FALSE
ENSMUSG00000143186.1	GSE264344;GSE279372	2	-0.03407747491599339	0.23429819999647428	18.216380776328908	2	1.1834426516141245	1	0.15500763924971178	anchor	FALSE	FALSE
ENSMUSG00000019235.10	GSE167521;GSE264344;GSE279372;GSE279744;GSE39129	5	-0.1727916506438663	0.05276332100502189	359.1995254192468	5	4.732570934286878	4	0.1547934398572865	anchor	FALSE	FALSE
ENSMUSG00000120376.2	GSE167521;GSE264344;GSE279372;GSE279744;GSE39129	5	-0.1496390919527714	0.13487944881204653	54.96781007255656	5	4.7323897722469725	4	0.15476108425008886	anchor	FALSE	FALSE
ENSMUSG00000083339.2	GSE264344;GSE279372	2	0.006894873511761562	0.2525617172040566	15.677072130664467	2	1.1830109436169032	1	0.15469928203484817	anchor	FALSE	FALSE
ENSMUSG00000017204.5	GSE167521;GSE264344	2	1.2314964282301026	0.1927351305806838	26.920197091540473	2	1.1829105579709163	1	0.15462754706042062	anchor	FALSE	FALSE
ENSMUSG00000026368.7	GSE264344;GSE39129	2	-0.1465714201413091	0.13957691264886124	51.33018439990474	2	1.1827751346483513	1	0.1545307550810931	anchor	FALSE	FALSE
ENSMUSG00000091993.3	GSE264344;GSE279372;GSE279744	3	-0.25862175108672536	0.18440540840885347	29.40713338471761	3	2.3650062100681373	2	0.1543362586171058	anchor	FALSE	FALSE
ENSMUSG00000029102.10	GSE167521;GSE264344;GSE279372;GSE279744;GSE39129	5	-0.5804012598622884	0.12572792093069632	63.26106980640817	5	4.729654016890342	4	0.15427217599524867	anchor	FALSE	FALSE
ENSMUSG00000032093.8	GSE167521;GSE264344;GSE279372;GSE279744;GSE39129	5	0.014050286760908021	0.031925266166215396	981.139920356382	5	4.729611023558041	4	0.1542644881204547	anchor	FALSE	FALSE
ENSMUSG00000144076.1	GSE167521;GSE264344;GSE279372;GSE39129	4	0.6497088334828087	0.14041850368159806	50.716738647148105	4	3.5468195370527065	3	0.15417179570040826	anchor	FALSE	FALSE
ENSMUSG00000115763.2	GSE167521;GSE264344;GSE279372;GSE39129	4	-0.5751387378568923	0.270175527395462	13.699603070895375	4	3.54643860976479	3	0.15408094426341454	anchor	FALSE	FALSE
ENSMUSG00000114937.3	GSE167521;GSE264344;GSE279372;GSE39129	4	-0.2938117733802206	0.04984084052035132	402.5587627225589	4	3.5457446925433045	3	0.1539153943291531	anchor	FALSE	FALSE
ENSMUSG00000123215.1	GSE264344;GSE279372	2	-0.6909399066450477	0.3598147496014076	7.723996634397385	2	1.1818236236560868	1	0.15385005005535232	anchor	FALSE	FALSE
ENSMUSG00000108949.3	GSE264344;GSE279372	2	-0.27720258513512375	0.19353390282409794	26.698440272309803	2	1.1816284152796768	1	0.15371026367598614	anchor	FALSE	FALSE
ENSMUSG00000097626.8	GSE167521;GSE264344;GSE279372	3	-1.2351909942962431	0.1997058470490893	25.07370079263418	3	2.362392285290176	2	0.153400553983634	anchor	FALSE	FALSE
ENSMUSG00000102459.2	GSE167521;GSE264344;GSE279372	3	-0.23450965465431997	0.193883394838009	26.602274411515218	3	2.3620136289652893	2	0.1532648349382616	anchor	FALSE	FALSE
ENSMUSG00000105802.2	GSE167521;GSE264344;GSE279372;GSE39129	4	-0.47477707517918355	0.07255457258738664	189.96361424883517	4	3.5425355503260825	3	0.15314893601452872	anchor	FALSE	FALSE
ENSMUSG00000085479.3	GSE167521;GSE264344	2	0.022000440589470927	0.08634468253241853	134.1308898828252	2	1.180574218909293	1	0.15295456737664623	anchor	FALSE	FALSE
ENSMUSG00000063820.12	GSE167521;GSE264344;GSE279372	3	-0.005265610955765088	0.18176741253548498	30.266900557228524	3	2.361002965058142	2	0.15290237682918448	anchor	FALSE	FALSE
ENSMUSG00000031922.13	GSE167521;GSE264344;GSE279372;GSE279744;GSE39129	5	0.14736366642699453	0.022614052120493527	1955.434271216282	5	4.721904264718289	4	0.15288413831519274	anchor	FALSE	FALSE
ENSMUSG00000086890.3	GSE167521;GSE264344;GSE279372;GSE279744;GSE39129	5	-0.08875428108569217	0.1517252221222742	43.43946182248496	5	4.721692100377584	4	0.15284607404194597	anchor	FALSE	FALSE
