gse_id	split_id	signature_id	signature_label	baseline_delta_score	baseline_auc_secondary	imrs_delta_score	imrs_auc_secondary
GSE264344	GSE264344_design__T=dLN__H=1__B=NA__G=delivery_ad26__VS=baseline_0	ISG	Interferon-stimulated genes	0.21610624928203886	0.7200000000000001	0.3695107717465071	0.8400000000000001
GSE264344	GSE264344_design__T=dLN__H=1__B=NA__G=delivery_ad26__VS=baseline_0	CHEMOKINE_INFLAMMATORY	Chemokine/inflammatory genes	2.3824536165574566	1	0.3695107717465071	0.8400000000000001
GSE264344	GSE264344_design__T=dLN__H=1__B=NA__G=delivery_ad26__VS=baseline_0	GENERIC_INNATE	Generic innate immune genes	0.3013559782921329	0.92	0.3695107717465071	0.8400000000000001
GSE264344	GSE264344_design__T=dLN__H=1__B=NA__G=delivery_ad5__VS=baseline_0	ISG	Interferon-stimulated genes	-0.13471121504067826	0.6000000000000001	0.3592382013315616	0.8
GSE264344	GSE264344_design__T=dLN__H=1__B=NA__G=delivery_ad5__VS=baseline_0	CHEMOKINE_INFLAMMATORY	Chemokine/inflammatory genes	4.0777585373145016	1	0.3592382013315616	0.8
GSE264344	GSE264344_design__T=dLN__H=1__B=NA__G=delivery_ad5__VS=baseline_0	GENERIC_INNATE	Generic innate immune genes	0.29963127041816984	0.92	0.3592382013315616	0.8
GSE264344	GSE264344_design__T=dLN__H=12__B=NA__G=delivery_ad26__VS=baseline_0	ISG	Interferon-stimulated genes	5.192069180974002	1	5.521888634175941	1
GSE264344	GSE264344_design__T=dLN__H=12__B=NA__G=delivery_ad26__VS=baseline_0	CHEMOKINE_INFLAMMATORY	Chemokine/inflammatory genes	7.819730875160726	1	5.521888634175941	1
GSE264344	GSE264344_design__T=dLN__H=12__B=NA__G=delivery_ad26__VS=baseline_0	GENERIC_INNATE	Generic innate immune genes	1.6532872243548422	1	5.521888634175941	1
GSE264344	GSE264344_design__T=dLN__H=12__B=NA__G=delivery_ad5__VS=baseline_0	ISG	Interferon-stimulated genes	4.775935084475342	1	5.006224300092883	1
GSE264344	GSE264344_design__T=dLN__H=12__B=NA__G=delivery_ad5__VS=baseline_0	CHEMOKINE_INFLAMMATORY	Chemokine/inflammatory genes	5.195892172829959	1	5.006224300092883	1
GSE264344	GSE264344_design__T=dLN__H=12__B=NA__G=delivery_ad5__VS=baseline_0	GENERIC_INNATE	Generic innate immune genes	1.2177149952081843	1	5.006224300092883	1
GSE264344	GSE264344_design__T=dLN__H=24__B=NA__G=delivery_ad26__VS=baseline_0	ISG	Interferon-stimulated genes	4.00331386549238	1	3.75024700596753	1
GSE264344	GSE264344_design__T=dLN__H=24__B=NA__G=delivery_ad26__VS=baseline_0	CHEMOKINE_INFLAMMATORY	Chemokine/inflammatory genes	3.6139587733151313	1	3.75024700596753	1
GSE264344	GSE264344_design__T=dLN__H=24__B=NA__G=delivery_ad26__VS=baseline_0	GENERIC_INNATE	Generic innate immune genes	0.8074427291662487	1	3.75024700596753	1
GSE264344	GSE264344_design__T=dLN__H=24__B=NA__G=delivery_ad5__VS=baseline_0	ISG	Interferon-stimulated genes	3.532600264317266	1	3.164769842555989	1
