dataset_id	gene_id	n_contrasts_dataset	n_pass	support_in_dataset	dataset_support_flag
GSE167521	ENSMUSG00000001472.18	2	0	0	FALSE
GSE167521	ENSMUSG00000001473.8	2	2	1	TRUE
GSE167521	ENSMUSG00000001482.16	2	0	0	FALSE
GSE167521	ENSMUSG00000001493.10	2	0	0	FALSE
GSE167521	ENSMUSG00000001504.11	2	0	0	FALSE
GSE167521	ENSMUSG00000001506.11	2	0	0	FALSE
GSE167521	ENSMUSG00000001507.17	2	0	0	FALSE
GSE167521	ENSMUSG00000001508.16	2	2	1	TRUE
GSE167521	ENSMUSG00000001510.9	2	0	0	FALSE
GSE167521	ENSMUSG00000001517.15	2	2	1	TRUE
GSE167521	ENSMUSG00000001518.13	2	0	0	FALSE
GSE167521	ENSMUSG00000001520.13	2	2	1	TRUE
GSE167521	ENSMUSG00000001521.13	2	0	0	FALSE
GSE167521	ENSMUSG00000001524.15	2	0	0	FALSE
GSE167521	ENSMUSG00000001525.11	2	2	1	TRUE
GSE167521	ENSMUSG00000001542.8	2	0	0	FALSE
GSE167521	ENSMUSG00000001552.15	2	0	0	FALSE
GSE167521	ENSMUSG00000001555.11	2	2	1	TRUE
GSE167521	ENSMUSG00000001558.6	2	0	0	FALSE
GSE167521	ENSMUSG00000001569.11	2	0	0	FALSE
GSE167521	ENSMUSG00000001576.16	2	2	1	TRUE
GSE167521	ENSMUSG00000001583.14	2	0	0	FALSE
GSE167521	ENSMUSG00000001588.13	2	0	0	FALSE
GSE167521	ENSMUSG00000001604.15	2	2	1	TRUE
GSE167521	ENSMUSG00000001627.13	2	0	0	FALSE
GSE167521	ENSMUSG00000001630.14	2	0	0	FALSE
GSE167521	ENSMUSG00000001632.17	2	0	0	FALSE
GSE167521	ENSMUSG00000001642.19	2	0	0	FALSE
GSE167521	ENSMUSG00000001655.7	2	0	0	FALSE
GSE167521	ENSMUSG00000001657.8	2	0	0	FALSE
GSE167521	ENSMUSG00000001661.6	2	2	1	TRUE
GSE167521	ENSMUSG00000001663.11	2	2	1	TRUE
GSE167521	ENSMUSG00000001665.12	2	0	0	FALSE
GSE167521	ENSMUSG00000001666.9	2	0	0	FALSE
GSE167521	ENSMUSG00000001672.15	2	0	0	FALSE
GSE167521	ENSMUSG00000001674.12	2	0	0	FALSE
GSE167521	ENSMUSG00000001687.16	2	0	0	FALSE
GSE167521	ENSMUSG00000001700.11	2	0	0	FALSE
GSE167521	ENSMUSG00000001707.9	2	2	1	TRUE
GSE167521	ENSMUSG00000001729.15	2	0	0	FALSE
GSE167521	ENSMUSG00000001739.15	2	0	0	FALSE
GSE167521	ENSMUSG00000001741.13	2	0	0	FALSE
GSE167521	ENSMUSG00000001750.17	2	2	1	TRUE
GSE167521	ENSMUSG00000001751.10	2	0	0	FALSE
GSE167521	ENSMUSG00000001755.13	2	0	0	FALSE
GSE167521	ENSMUSG00000001761.8	2	0	0	FALSE
GSE167521	ENSMUSG00000001763.15	2	2	1	TRUE
GSE167521	ENSMUSG00000001767.6	2	0	0	FALSE
GSE167521	ENSMUSG00000001768.17	2	0	0	FALSE
GSE167521	ENSMUSG00000001773.15	2	0	0	FALSE
GSE167521	ENSMUSG00000001774.9	2	0	0	FALSE
GSE167521	ENSMUSG00000001783.4	2	0	0	FALSE
GSE167521	ENSMUSG00000001785.14	2	0	0	FALSE
GSE167521	ENSMUSG00000001786.15	2	0	0	FALSE
GSE167521	ENSMUSG00000001794.14	2	0	0	FALSE
GSE167521	ENSMUSG00000001802.17	2	0	0	FALSE
GSE167521	ENSMUSG00000001804.10	2	0	0	FALSE
GSE167521	ENSMUSG00000001827.13	2	0	0	FALSE
GSE167521	ENSMUSG00000001829.18	2	0	0	FALSE
GSE167521	ENSMUSG00000001833.18	2	0	0	FALSE
GSE167521	ENSMUSG00000001844.11	2	0	0	FALSE
GSE167521	ENSMUSG00000001847.15	2	0	0	FALSE
GSE167521	ENSMUSG00000001855.16	2	0	0	FALSE
GSE167521	ENSMUSG00000001864.14	2	2	1	TRUE
GSE167521	ENSMUSG00000001865.3	2	0	0	FALSE
GSE167521	ENSMUSG00000001870.17	2	0	0	FALSE
GSE167521	ENSMUSG00000001891.17	2	0	0	FALSE
GSE167521	ENSMUSG00000001909.17	2	0	0	FALSE
GSE167521	ENSMUSG00000001910.6	2	0	0	FALSE
GSE167521	ENSMUSG00000001911.17	2	0	0	FALSE
GSE167521	ENSMUSG00000001918.18	2	2	1	TRUE
GSE167521	ENSMUSG00000001924.16	2	0	0	FALSE
GSE167521	ENSMUSG00000001930.18	2	0	0	FALSE
GSE167521	ENSMUSG00000001942.9	2	0	0	FALSE
GSE167521	ENSMUSG00000001943.9	2	0	0	FALSE
GSE167521	ENSMUSG00000001946.15	2	0	0	FALSE
GSE167521	ENSMUSG00000001948.11	2	0	0	FALSE
GSE167521	ENSMUSG00000001962.9	2	0	0	FALSE
GSE167521	ENSMUSG00000001964.15	2	0	0	FALSE
GSE167521	ENSMUSG00000001983.8	2	0	0	FALSE
GSE167521	ENSMUSG00000001985.10	2	0	0	FALSE
GSE167521	ENSMUSG00000001986.17	2	0	0	FALSE
GSE167521	ENSMUSG00000001988.10	2	0	0	FALSE
