gene_id	SRR13783173	SRR13783175	SRR13783177	SRR13783179	SRR13783174	SRR13783176	SRR13783178	SRR13783180
ENSMUSG00000122491.1	0	0	0	0	0	0	0	0
ENSMUSG00000103494.2	0	0	0	0	0	0	0	0
ENSMUSG00000143092.1	0	0	0	0	0	0	2	0
ENSMUSG00000057715.14	6	8	1	3	1	0	1	0
ENSMUSG00000103825.2	0	0	0	0	0	0	0	0
ENSMUSG00000099845.2	0	0	0	0	0	0	0	0
ENSMUSG00000139014.1	0	0	0	0	0	0	0	0
ENSMUSG00000138973.1	0	0	0	0	0	0	0	0
ENSMUSG00000103561.2	0	0	0	0	0	0	0	0
ENSMUSG00000134440.1	0	0	0	0	0	0	0	0
ENSMUSG00000101610.2	0	0	0	0	0	0	0	0
ENSMUSG00000141382.1	0	0	0	0	0	0	0	0
ENSMUSG00000118923.1	0	0	0	0	0	0	0	0
ENSMUSG00000098555.3	0	0	0	0	0	0	0	0
ENSMUSG00000143719.1	0	0	0	0	0	0	0	0
ENSMUSG00000097628.2	4	2	2	5	2	1	0	6
ENSMUSG00000098163.2	0	0	0	0	0	0	0	0
ENSMUSG00000097171.3	0	0	0	0	0	0	0	0
ENSMUSG00000101314.3	0	0	0	0	0	0	0	0
ENSMUSG00000016918.16	475	444	472	785	1020	572	1373	496
ENSMUSG00000127288.1	0	0	1	0	0	0	0	0
ENSMUSG00000025938.17	212	251	337	386	323	132	109	161
ENSMUSG00000104518.2	0	0	0	0	0	0	0	0
ENSMUSG00000141815.1	0	0	0	0	0	0	0	0
ENSMUSG00000069620.7	0	0	0	0	0	0	0	0
ENSMUSG00000099498.3	0	0	0	0	0	0	0	0
ENSMUSG00000042414.8	0	1	0	0	0	0	0	0
ENSMUSG00000005886.15	2967	1958	1856	1631	1893	1123	1363	946
ENSMUSG00000103506.2	2	0	1	0	1	2	1	1
ENSMUSG00000103495.2	1	0	0	0	1	1	0	0
ENSMUSG00002076346.1	0	0	0	0	0	0	0	0
ENSMUSG00000102639.2	0	0	0	0	0	1	0	0
ENSMUSG00000104170.2	0	1	1	2	0	1	1	0
ENSMUSG00000134412.1	0	0	0	0	1	0	0	1
ENSMUSG00000087782.3	0	0	0	0	0	0	0	0
ENSMUSG00000103085.2	2	4	2	1	6	4	2	1
ENSMUSG00000102664.2	0	1	0	1	3	2	1	2
ENSMUSG00000134452.1	3	2	0	1	4	1	0	0
ENSMUSG00000101476.3	2	1	1	1	1	0	1	1
ENSMUSG00000134491.1	0	0	0	0	0	0	0	0
ENSMUSG00000122424.1	0	0	0	0	0	0	0	0
ENSMUSG00000101171.2	0	0	0	5	0	0	0	1
ENSMUSG00000126000.1	0	0	0	0	0	0	0	0
ENSMUSG00000025935.11	2024	1462	1560	1772	3345	2328	3347	3162
ENSMUSG00000120948.2	0	0	1	0	0	0	0	1
ENSMUSG00000131318.1	0	0	0	0	0	0	0	0
ENSMUSG00000025937.7	540	511	656	610	546	416	520	490
ENSMUSG00000102982.2	1	1	1	1	3	3	3	4
ENSMUSG00000067813.4	1	2	3	1	1	2	5	1
ENSMUSG00000077368.3	0	0	0	0	0	0	0	0
ENSMUSG00000097711.2	11	9	15	14	7	5	5	9
ENSMUSG00000134219.1	0	0	0	0	0	0	0	0
ENSMUSG00000102166.2	0	0	0	0	0	0	0	0
ENSMUSG00002075174.1	0	0	0	0	0	0	0	0
ENSMUSG00000104209.2	0	0	0	0	0	0	0	0
ENSMUSG00000025932.15	112	167	201	213	68	39	48	56
ENSMUSG00002075819.1	0	0	0	0	0	0	0	0
ENSMUSG00000102588.2	0	0	0	0	0	0	0	0
ENSMUSG00000127312.1	0	0	0	0	0	0	0	0
ENSMUSG00000127278.1	0	0	0	0	0	0	0	0
ENSMUSG00000140763.1	0	0	0	0	0	0	0	0
ENSMUSG00000140464.1	0	0	0	0	0	0	0	0
ENSMUSG00000134469.1	0	0	0	0	0	0	0	0
ENSMUSG00000054493.4	8	9	7	3	1	0	0	1
ENSMUSG00000025930.7	28	19	6	7	2	1	3	1
ENSMUSG00000103492.2	1	0	2	2	1	0	0	0
ENSMUSG00000081201.2	1	0	0	0	0	0	0	0
ENSMUSG00000082193.2	12	4	8	5	8	5	4	6
ENSMUSG00000032769.6	2	5	0	1	0	0	0	0
ENSMUSG00000088159.3	0	0	0	0	0	0	0	0
ENSMUSG00000125466.1	0	0	0	0	0	0	0	0
ENSMUSG00000073737.4	13	5	14	7	9	4	3	7
ENSMUSG00000092083.5	2	2	1	1	0	0	1	0
ENSMUSG00000128216.1	0	0	0	0	0	0	0	0
ENSMUSG00000102937.2	0	0	0	0	0	0	0	0
ENSMUSG00000104149.2	0	0	0	0	0	0	0	0
ENSMUSG00000137925.1	0	0	0	0	0	0	0	0
ENSMUSG00000088829.3	0	0	0	0	0	0	0	0
ENSMUSG00000132707.1	0	0	0	0	0	0	0	0
ENSMUSG00000077377.3	0	0	0	0	0	0	0	0
ENSMUSG00000101652.2	0	0	0	0	0	0	0	0
ENSMUSG00000100814.2	0	0	0	0	0	0	0	0
ENSMUSG00000132745.1	0	0	0	0	0	0	0	0
ENSMUSG00000132786.1	0	0	0	0	0	0	0	0
ENSMUSG00000025925.15	272	214	186	196	240	219	250	251
ENSMUSG00000104379.2	13	9	17	21	23	5	17	2
ENSMUSG00000032719.5	19	11	14	24	14	4	25	18
ENSMUSG00002076565.1	0	0	0	0	0	0	0	0
ENSMUSG00000137819.1	0	0	0	0	0	0	0	0
ENSMUSG00000100652.2	0	0	0	0	0	0	1	0
ENSMUSG00000067795.14	0	0	0	1	1	0	0	0
ENSMUSG00000136711.1	0	0	0	0	0	0	0	0
ENSMUSG00000043716.14	14004	8995	10027	12478	14407	9685	13204	17886
ENSMUSG00000025921.8	284	168	170	185	800	767	1510	552
ENSMUSG00000132226.1	0	0	0	0	0	0	1	1
ENSMUSG00000104165.2	1	3	2	0	0	0	1	0
ENSMUSG00000100868.2	0	0	1	1	1	2	0	0
ENSMUSG00000025920.20	796	707	935	944	666	383	379	532
ENSMUSG00000089982.9	0	0	0	0	1	1	0	0
ENSMUSG00000025939.20	833	588	538	667	858	608	727	806
ENSMUSG00000102457.2	4	2	3	2	3	2	0	0
ENSMUSG00000079658.10	1403	1042	1307	1495	1706	1329	1459	2200
ENSMUSG00000097744.3	1	1	0	1	2	0	0	0
ENSMUSG00000100959.2	0	0	0	0	0	0	0	0
ENSMUSG00000025940.7	786	613	774	771	887	557	619	940
ENSMUSG00000125087.1	0	0	1	0	5	0	4	1
ENSMUSG00000025779.11	92	83	87	94	176	114	168	163
ENSMUSG00000100093.2	0	0	0	0	0	0	0	0
ENSMUSG00000091020.4	8	3	2	4	8	1	1	4
ENSMUSG00000142287.1	5	1	2	6	2	1	1	1
ENSMUSG00000101640.2	0	0	0	0	0	0	0	0
ENSMUSG00000104133.2	0	0	0	0	0	0	0	0
ENSMUSG00000042686.6	2932	2650	3004	3544	750	275	147	460
ENSMUSG00000127806.1	2	4	6	3	1	1	0	1
ENSMUSG00000127769.1	0	0	1	0	0	0	0	0
ENSMUSG00000100110.3	3	2	2	2	0	0	0	0
ENSMUSG00000025777.9	32	21	44	40	18	4	2	17
ENSMUSG00000099899.3	1	0	0	0	0	0	0	0
ENSMUSG00000138285.1	0	0	0	0	0	0	0	0
ENSMUSG00000100272.2	0	0	0	0	0	0	0	0
ENSMUSG00000137468.1	0	0	0	0	0	0	0	0
ENSMUSG00000137506.1	0	0	0	0	0	0	0	0
ENSMUSG00000100398.2	0	0	0	0	0	0	0	0
ENSMUSG00000101589.2	24	7	2	10	20	8	6	8
ENSMUSG00000102048.2	0	0	0	0	0	0	1	0
ENSMUSG00000089534.3	0	0	0	0	0	0	0	0
ENSMUSG00000067780.4	231	302	149	197	1097	1016	1629	810
ENSMUSG00000100053.3	2	2	1	0	0	0	3	1
ENSMUSG00000085125.9	1	2	2	0	1	1	1	0
ENSMUSG00000025776.14	83	121	37	35	25	24	74	24
ENSMUSG00000099895.2	0	0	0	0	0	0	1	0
ENSMUSG00000109887.3	0	0	0	0	1	0	0	0
ENSMUSG00000100554.2	0	1	0	0	2	0	1	1
ENSMUSG00000099473.2	0	0	0	0	0	0	0	0
ENSMUSG00000099591.2	0	0	0	0	0	0	0	0
ENSMUSG00000102001.2	0	0	0	0	0	0	0	0
ENSMUSG00000101717.3	0	0	0	0	0	0	0	0
ENSMUSG00000025774.15	0	0	0	0	0	0	0	0
ENSMUSG00000142595.1	0	0	0	0	0	0	0	0
ENSMUSG00000070977.5	0	0	0	0	0	0	0	0
ENSMUSG00000131994.1	0	0	0	0	0	0	0	0
ENSMUSG00000073735.2	0	0	0	0	0	0	0	0
ENSMUSG00000067773.7	0	0	0	0	0	0	0	0
ENSMUSG00000101685.2	3	1	0	2	4	0	2	6
ENSMUSG00000132263.1	0	0	0	0	0	0	0	0
ENSMUSG00000132383.1	0	0	0	0	0	0	0	0
ENSMUSG00000101306.2	0	0	0	0	0	0	0	0
ENSMUSG00000134916.1	0	0	0	0	0	0	0	0
ENSMUSG00000088800.4	0	0	0	0	0	0	0	0
ENSMUSG00000101644.2	0	0	0	0	0	0	0	0
ENSMUSG00000099433.2	0	0	0	0	0	0	0	0
ENSMUSG00000089787.4	0	0	0	0	0	0	0	0
ENSMUSG00000042596.8	0	0	0	0	0	0	0	0
ENSMUSG00000100720.2	5	4	1	1	2	1	2	1
ENSMUSG00000025927.14	1518	1003	634	722	767	576	477	450
ENSMUSG00000142982.1	0	0	0	0	0	0	0	0
ENSMUSG00000100538.3	2	0	0	1	0	0	0	0
ENSMUSG00000101117.2	0	0	0	0	0	0	0	0
ENSMUSG00000100204.2	3	3	3	3	9	4	4	4
ENSMUSG00002076883.1	0	0	0	0	0	0	0	0
ENSMUSG00000141106.1	0	0	0	0	0	0	0	0
ENSMUSG00000102597.2	0	0	0	0	0	0	0	0
ENSMUSG00000142065.1	0	0	0	0	0	0	0	0
ENSMUSG00000136536.1	0	0	0	2	0	0	0	2
ENSMUSG00000043760.17	0	0	2	0	0	0	3	0
ENSMUSG00000104095.2	0	0	0	1	0	0	0	0
ENSMUSG00000089914.4	0	0	0	0	0	0	0	0
ENSMUSG00000090142.3	3	1	0	1	1	0	0	1
ENSMUSG00000070175.3	0	0	0	0	0	0	0	0
ENSMUSG00000099906.3	4	45	23	9	0	0	34	0
ENSMUSG00000065559.3	0	0	0	0	0	0	0	0
ENSMUSG00000065480.3	0	0	0	0	0	0	0	0
ENSMUSG00000133531.1	0	0	0	0	0	0	0	0
ENSMUSG00000025929.5	0	0	0	0	28	2	6	8
ENSMUSG00000041872.10	2	0	0	1	24	1	8	27
ENSMUSG00000041859.11	146	165	104	156	1153	1023	1163	671
ENSMUSG00000099714.2	0	0	0	0	0	0	0	0
ENSMUSG00000102121.2	15	10	8	10	0	2	0	0
ENSMUSG00000088858.3	0	0	0	0	0	0	0	0
ENSMUSG00000097934.3	3	0	4	0	0	0	2	0
ENSMUSG00000025931.16	815	476	467	439	325	200	227	155
