gene_id	SRR518631	SRR518632	SRR518633	SRR518634	SRR518635	SRR518636
ENSMUSG00000134452.1	1	3	2	2	1	2
ENSMUSG00000101476.3	0	0	2	0	0	1
ENSMUSG00000134491.1	1	5	3	3	5	1
ENSMUSG00000122424.1	0	0	0	0	0	0
ENSMUSG00000101171.2	1	1	0	0	1	0
ENSMUSG00000126000.1	0	0	0	0	0	0
ENSMUSG00000025935.11	1238	1572	1370	1661	1647	1001
ENSMUSG00000120948.2	2	0	1	0	2	0
ENSMUSG00000131318.1	0	1	0	0	0	0
ENSMUSG00000025937.7	1319	2257	2688	3551	3607	1741
ENSMUSG00000102982.2	15	30	38	62	48	14
ENSMUSG00000067813.4	230	325	243	188	270	133
ENSMUSG00000077368.3	0	0	0	0	0	0
ENSMUSG00000097711.2	5	12	12	12	13	5
ENSMUSG00000134219.1	0	0	0	0	0	0
ENSMUSG00000102166.2	0	0	0	0	0	0
ENSMUSG00002075174.1	0	0	0	0	0	0
ENSMUSG00000104209.2	0	0	0	0	0	0
ENSMUSG00000025932.15	1	0	0	0	0	0
ENSMUSG00002075819.1	0	0	0	0	0	0
ENSMUSG00000102588.2	0	0	0	0	0	0
ENSMUSG00000127312.1	0	0	0	0	0	0
ENSMUSG00000127278.1	0	0	0	0	0	0
ENSMUSG00000140763.1	0	0	0	0	0	0
ENSMUSG00000140464.1	0	0	0	0	0	0
ENSMUSG00000134469.1	0	0	0	0	0	0
ENSMUSG00000054493.4	1	1	3	3	5	1
ENSMUSG00000025930.7	12	6	9	7	5	1
ENSMUSG00000103492.2	0	0	1	1	0	0
ENSMUSG00000081201.2	0	0	0	0	0	1
ENSMUSG00000082193.2	4	2	2	2	3	1
ENSMUSG00000032769.6	0	0	0	0	0	0
ENSMUSG00000088159.3	0	0	0	0	0	0
ENSMUSG00000125466.1	0	0	0	0	0	0
ENSMUSG00000073737.4	7	6	10	11	8	7
ENSMUSG00000092083.5	0	0	0	1	0	0
ENSMUSG00000128216.1	0	0	0	0	0	0
ENSMUSG00000102937.2	0	0	0	0	0	0
ENSMUSG00000104149.2	0	0	1	0	2	0
ENSMUSG00000137925.1	0	0	3	1	3	0
ENSMUSG00000088829.3	0	0	0	0	0	0
ENSMUSG00000132707.1	0	0	0	0	0	0
ENSMUSG00000077377.3	0	0	0	0	0	0
ENSMUSG00000101652.2	1	0	1	0	0	0
ENSMUSG00000100814.2	0	0	0	0	0	0
ENSMUSG00000132745.1	0	0	0	0	0	0
ENSMUSG00000132786.1	0	0	0	0	0	0
ENSMUSG00000025925.15	86	87	90	142	118	98
ENSMUSG00000104379.2	0	3	1	1	2	0
ENSMUSG00000032719.5	0	2	1	2	5	1
ENSMUSG00002076565.1	0	0	0	0	0	0
ENSMUSG00000137819.1	0	0	0	0	0	0
ENSMUSG00000100652.2	0	0	0	0	0	0
ENSMUSG00000067795.14	0	0	0	0	0	0
ENSMUSG00000136711.1	0	0	0	0	0	1
ENSMUSG00000043716.14	2447	2858	2658	3591	3270	2277
ENSMUSG00000025921.8	216	311	311	424	376	216
ENSMUSG00000132226.1	0	0	0	0	0	0
ENSMUSG00000104165.2	0	0	0	0	0	0
ENSMUSG00000100868.2	1	0	3	3	3	1
ENSMUSG00000025920.20	39	67	70	87	84	50
ENSMUSG00000089982.9	0	0	0	1	0	0
ENSMUSG00000025939.20	112	168	180	167	207	111
ENSMUSG00000102457.2	0	2	0	0	1	0
ENSMUSG00000079658.10	193	208	221	237	261	169
ENSMUSG00000097744.3	0	0	1	1	0	1
ENSMUSG00000100959.2	0	0	0	0	0	0
ENSMUSG00000025940.7	349	447	365	496	461	276
ENSMUSG00000125087.1	1	1	1	1	1	0
ENSMUSG00000025779.11	24	34	27	25	41	28
ENSMUSG00000100093.2	0	0	0	0	0	0
ENSMUSG00000091020.4	7	17	23	10	13	5
ENSMUSG00000142287.1	2	0	1	0	1	1
ENSMUSG00000101640.2	0	0	0	0	0	0
ENSMUSG00000104133.2	0	0	0	0	0	0
ENSMUSG00000042686.6	5	8	9	12	17	10
ENSMUSG00000127806.1	0	0	0	0	0	0
ENSMUSG00000127769.1	0	0	0	0	0	0
ENSMUSG00000100110.3	0	0	0	0	0	0
ENSMUSG00000025777.9	0	0	0	0	0	0
ENSMUSG00000099899.3	0	0	0	0	0	0
ENSMUSG00000138285.1	0	0	0	0	0	0
ENSMUSG00000100272.2	0	0	0	0	0	0
ENSMUSG00000137468.1	0	0	0	0	0	0
ENSMUSG00000137506.1	0	0	0	0	0	0
ENSMUSG00000100398.2	0	0	0	0	0	0
ENSMUSG00000101589.2	2	5	5	4	2	2
ENSMUSG00000102048.2	0	0	0	0	0	0
ENSMUSG00000089534.3	0	0	0	0	0	0
ENSMUSG00000067780.4	9	9	2	7	1	3
ENSMUSG00000100053.3	0	0	0	0	0	0
ENSMUSG00000085125.9	0	0	0	0	0	0
ENSMUSG00000025776.14	0	0	0	0	0	0
ENSMUSG00000099895.2	0	0	0	0	0	0
ENSMUSG00000109887.3	0	0	0	0	0	0
ENSMUSG00000100554.2	1	1	0	4	1	2
ENSMUSG00000099473.2	0	0	0	0	0	0
ENSMUSG00000099591.2	0	0	0	0	0	0
ENSMUSG00000102001.2	0	0	0	0	0	0
ENSMUSG00000101717.3	0	0	0	0	0	0
ENSMUSG00000025774.15	0	0	0	0	0	0
ENSMUSG00000142595.1	0	0	0	0	0	0
ENSMUSG00000070977.5	0	0	0	0	0	0
ENSMUSG00000131994.1	0	0	0	0	0	0
ENSMUSG00000073735.2	0	0	0	0	0	0
ENSMUSG00000067773.7	0	0	0	0	0	0
ENSMUSG00000101685.2	0	0	0	1	0	0
ENSMUSG00000132263.1	0	0	0	0	0	0
ENSMUSG00000132383.1	0	0	0	0	0	0
ENSMUSG00000101306.2	0	0	0	0	0	0
ENSMUSG00000134916.1	0	0	0	0	0	0
ENSMUSG00000088800.4	0	0	0	0	0	0
ENSMUSG00000101644.2	0	0	0	0	0	0
ENSMUSG00000099433.2	0	0	0	0	0	0
ENSMUSG00000089787.4	0	0	0	0	0	0
ENSMUSG00000042596.8	0	0	0	0	0	0
ENSMUSG00000100720.2	0	0	0	1	0	1
ENSMUSG00000025927.14	0	0	0	0	0	0
ENSMUSG00000142982.1	0	0	0	0	0	0
ENSMUSG00000100538.3	0	0	0	0	0	0
ENSMUSG00000101117.2	0	0	0	0	0	0
ENSMUSG00000100204.2	3	2	5	2	5	1
ENSMUSG00002076883.1	0	0	0	0	0	0
ENSMUSG00000141106.1	0	0	0	0	0	0
ENSMUSG00000102597.2	0	0	0	0	0	0
ENSMUSG00000142065.1	0	0	0	0	0	0
ENSMUSG00000136536.1	0	0	0	0	0	0
ENSMUSG00000043760.17	105	239	172	345	199	139
ENSMUSG00000104095.2	0	0	1	1	1	1
ENSMUSG00000089914.4	0	0	0	0	0	0
ENSMUSG00000090142.3	1	1	0	1	0	0
ENSMUSG00000070175.3	0	0	0	0	0	0
ENSMUSG00000099906.3	0	0	0	0	0	0
ENSMUSG00000065559.3	0	0	0	0	0	0
ENSMUSG00000065480.3	0	0	0	0	0	0
ENSMUSG00000133531.1	0	0	0	0	0	0
ENSMUSG00000025929.5	0	0	0	0	0	0
ENSMUSG00000041872.10	0	0	0	0	0	1
ENSMUSG00000041859.11	126	176	61	272	101	173
ENSMUSG00000099714.2	0	0	0	0	0	0
ENSMUSG00000102121.2	0	0	0	0	0	0
ENSMUSG00000088858.3	0	0	0	0	0	0
ENSMUSG00000097934.3	0	1	0	2	1	0
ENSMUSG00000025931.16	11	5	8	15	10	6
ENSMUSG00000077314.3	0	0	0	0	0	0
ENSMUSG00000133875.1	0	0	0	0	0	0
ENSMUSG00000100929.2	0	0	0	0	0	0
ENSMUSG00000041809.6	1	3	4	6	3	3
ENSMUSG00000041779.6	114	278	346	432	382	294
ENSMUSG00000137435.1	0	0	0	1	0	0
ENSMUSG00000099971.2	0	0	0	0	0	0
ENSMUSG00000129840.1	0	0	3	0	0	0
ENSMUSG00000100819.2	0	0	0	0	0	0
ENSMUSG00000129885.1	0	0	0	0	0	0
ENSMUSG00000099343.3	10	36	76	61	88	19
ENSMUSG00000025933.16	23	35	37	46	56	24
ENSMUSG00000102633.2	0	0	0	0	0	0
ENSMUSG00000025934.16	10430	13637	15179	20528	20502	11291
ENSMUSG00000138037.1	0	0	0	0	0	0
ENSMUSG00000096375.3	0	0	0	0	0	0
ENSMUSG00000121505.2	3	2	47	0	56	1
ENSMUSG00000025936.18	0	0	0	0	0	0
ENSMUSG00000141880.1	0	0	5	0	3	0
ENSMUSG00000093963.2	0	0	0	0	0	0
ENSMUSG00000141838.1	0	0	0	0	0	0
ENSMUSG00000067750.4	0	0	0	0	0	0
ENSMUSG00000086194.2	0	0	0	0	0	0
ENSMUSG00000141922.1	0	0	0	0	0	0
ENSMUSG00000094436.2	0	0	0	0	0	0
ENSMUSG00000041722.8	0	0	0	0	0	0
ENSMUSG00000085507.2	0	0	0	0	0	0
ENSMUSG00000094926.2	0	0	0	0	0	0
ENSMUSG00000085079.4	0	0	0	0	0	0
ENSMUSG00000129191.1	0	0	0	0	0	0
ENSMUSG00000085679.3	0	0	0	0	0	0
ENSMUSG00000028033.17	3	2	1	3	2	1
ENSMUSG00000104138.2	0	0	0	0	0	0
ENSMUSG00000128794.1	0	0	0	0	0	0
ENSMUSG00000082935.4	19	13	11	15	19	9
ENSMUSG00000103748.2	0	0	1	0	0	0
ENSMUSG00000124418.1	0	0	0	0	0	0
ENSMUSG00000123368.1	0	0	0	0	0	0
ENSMUSG00000099692.2	0	0	0	0	0	0
ENSMUSG00000140384.1	0	0	0	0	0	0
ENSMUSG00000124412.1	0	0	0	0	0	0
ENSMUSG00000100418.2	0	0	0	0	0	0
ENSMUSG00000128972.1	0	0	0	0	0	0
ENSMUSG00000135509.1	0	0	0	0	0	0
ENSMUSG00000041670.20	2	0	1	0	1	0
ENSMUSG00000097642.2	0	0	0	0	0	0
ENSMUSG00000131366.1	0	0	0	0	0	0
ENSMUSG00000141541.1	0	0	0	0	0	0
ENSMUSG00000128277.1	0	0	0	0	0	0
ENSMUSG00000101468.2	0	0	0	0	0	0
ENSMUSG00000101227.3	0	0	0	0	0	0
ENSMUSG00000073730.3	0	0	0	0	0	0
ENSMUSG00000141721.1	0	0	0	0	0	0
ENSMUSG00000141755.1	0	0	0	0	0	0
ENSMUSG00000089553.3	0	0	0	0	0	0
ENSMUSG00000102766.2	0	1	0	0	0	1
ENSMUSG00000134304.1	0	3	3	3	3	4
ENSMUSG00000065405.5	0	0	0	0	0	0
ENSMUSG00000097970.2	1	2	8	8	8	2
ENSMUSG00000065567.3	0	0	0	0	0	0
ENSMUSG00000100775.2	0	0	0	0	0	0
ENSMUSG00000133147.1	0	0	0	1	0	0
ENSMUSG00000101226.2	0	0	0	0	0	0
ENSMUSG00000026158.12	108	130	149	131	199	92
ENSMUSG00000138593.1	0	0	0	0	0	0
ENSMUSG00000097920.2	2	0	1	4	3	3
ENSMUSG00000099503.3	0	0	0	0	0	0
ENSMUSG00000142633.1	0	0	0	0	0	0
ENSMUSG00000026156.9	4	5	7	7	11	3
ENSMUSG00000026155.14	67	105	129	133	160	105
ENSMUSG00000141937.1	0	0	0	1	0	0
ENSMUSG00000141893.1	1	0	1	4	0	0
ENSMUSG00000026154.5	69	92	88	114	140	54
ENSMUSG00000102495.2	0	0	0	1	0	0
ENSMUSG00000026153.16	222	345	403	424	534	202
ENSMUSG00000143955.1	0	0	0	0	0	0
ENSMUSG00000102398.2	0	0	0	0	0	0
ENSMUSG00000122847.1	2	5	4	3	7	2
