sample_id	condition_simple	is_control	group	tissue	timepoint_hr	time_h	batch
SRR28740195	DELIVERY	FALSE	delivery_ad26	dLN	72	72	NA
SRR28740196	DELIVERY	FALSE	delivery_ad26	dLN	72	72	NA
SRR28740197	DELIVERY	FALSE	delivery_ad26	dLN	72	72	NA
SRR28740198	DELIVERY	FALSE	delivery_ad26	dLN	72	72	NA
SRR28740199	CONTROL	TRUE	baseline_0	Blood	0	0	NA
SRR28740200	CONTROL	TRUE	baseline_0	Blood	0	0	NA
SRR28740201	CONTROL	TRUE	baseline_0	Blood	0	0	NA
SRR28740202	CONTROL	TRUE	baseline_0	Blood	0	0	NA
SRR28740203	CONTROL	TRUE	baseline_0	Blood	0	0	NA
SRR28740204	DELIVERY	FALSE	delivery_ad5	Blood	72	72	NA
SRR28740205	DELIVERY	FALSE	delivery_ad5	Blood	72	72	NA
SRR28740206	DELIVERY	FALSE	delivery_ad5	Blood	72	72	NA
SRR28740207	DELIVERY	FALSE	delivery_ad5	Blood	72	72	NA
SRR28740208	DELIVERY	FALSE	delivery_ad5	Blood	72	72	NA
SRR28740209	DELIVERY	FALSE	delivery_ad26	Blood	72	72	NA
SRR28740210	DELIVERY	FALSE	delivery_ad26	Blood	72	72	NA
SRR28740211	DELIVERY	FALSE	delivery_ad5	dLN	6	6	NA
SRR28740212	DELIVERY	FALSE	delivery_ad5	dLN	24	24	NA
SRR28740213	DELIVERY	FALSE	delivery_ad26	dLN	6	6	NA
SRR28740214	DELIVERY	FALSE	delivery_ad26	dLN	24	24	NA
SRR28740215	DELIVERY	FALSE	delivery_ad26	dLN	6	6	NA
SRR28740216	DELIVERY	FALSE	delivery_ad26	dLN	24	24	NA
SRR28740217	DELIVERY	FALSE	delivery_ad26	dLN	6	6	NA
SRR28740218	DELIVERY	FALSE	delivery_ad26	dLN	24	24	NA
SRR28740219	DELIVERY	FALSE	delivery_ad26	dLN	6	6	NA
SRR28740220	DELIVERY	FALSE	delivery_ad26	dLN	24	24	NA
SRR28740221	DELIVERY	FALSE	delivery_ad26	dLN	6	6	NA
SRR28740222	DELIVERY	FALSE	delivery_ad26	dLN	24	24	NA
SRR28740223	DELIVERY	FALSE	delivery_ad5	Blood	24	24	NA
SRR28740224	DELIVERY	FALSE	delivery_ad5	Blood	24	24	NA
SRR28740225	DELIVERY	FALSE	delivery_ad5	Blood	24	24	NA
SRR28740226	DELIVERY	FALSE	delivery_ad5	Blood	24	24	NA
SRR28740227	DELIVERY	FALSE	delivery_ad5	Blood	24	24	NA
SRR28740228	DELIVERY	FALSE	delivery_ad26	Blood	24	24	NA
SRR28740229	DELIVERY	FALSE	delivery_ad26	Blood	24	24	NA
SRR28740230	DELIVERY	FALSE	delivery_ad26	Blood	24	24	NA
SRR28740231	DELIVERY	FALSE	delivery_ad5	Muscle	3	3	NA
SRR28740232	DELIVERY	FALSE	delivery_ad5	Muscle	3	3	NA
SRR28740233	DELIVERY	FALSE	delivery_ad5	Muscle	3	3	NA
SRR28740234	DELIVERY	FALSE	delivery_ad5	Muscle	3	3	NA
SRR28740235	DELIVERY	FALSE	delivery_ad5	Muscle	3	3	NA
SRR28740236	DELIVERY	FALSE	delivery_ad26	Muscle	3	3	NA
SRR28740237	DELIVERY	FALSE	delivery_ad26	Muscle	3	3	NA
SRR28740238	DELIVERY	FALSE	delivery_ad26	Muscle	3	3	NA
SRR28740239	DELIVERY	FALSE	delivery_ad26	Muscle	3	3	NA
SRR28740240	DELIVERY	FALSE	delivery_ad26	Muscle	3	3	NA
SRR28740241	DELIVERY	FALSE	delivery_ad5	dLN	3	3	NA
SRR28740242	DELIVERY	FALSE	delivery_ad5	dLN	1	1	NA
SRR28740243	DELIVERY	FALSE	delivery_ad5	dLN	3	3	NA
SRR28740244	DELIVERY	FALSE	delivery_ad5	dLN	1	1	NA
SRR28740245	DELIVERY	FALSE	delivery_ad5	dLN	3	3	NA
SRR28740246	DELIVERY	FALSE	delivery_ad5	dLN	1	1	NA
SRR28740247	DELIVERY	FALSE	delivery_ad5	dLN	3	3	NA
SRR28740248	DELIVERY	FALSE	delivery_ad5	dLN	1	1	NA
SRR28740249	DELIVERY	FALSE	delivery_ad5	dLN	3	3	NA
SRR28740250	DELIVERY	FALSE	delivery_ad5	dLN	1	1	NA
SRR28740251	DELIVERY	FALSE	delivery_ad26	Blood	12	12	NA
SRR28740252	DELIVERY	FALSE	delivery_ad5	Muscle	6	6	NA
SRR28740253	DELIVERY	FALSE	delivery_ad5	Muscle	6	6	NA
SRR28740254	DELIVERY	FALSE	delivery_ad5	Muscle	6	6	NA
SRR28740255	DELIVERY	FALSE	delivery_ad5	Muscle	6	6	NA
SRR28740256	DELIVERY	FALSE	delivery_ad5	Muscle	6	6	NA
SRR28740257	DELIVERY	FALSE	delivery_ad26	Muscle	6	6	NA
SRR28740258	DELIVERY	FALSE	delivery_ad26	Muscle	6	6	NA
SRR28740259	DELIVERY	FALSE	delivery_ad26	Muscle	6	6	NA
SRR28740260	DELIVERY	FALSE	delivery_ad26	Muscle	6	6	NA
SRR28740261	DELIVERY	FALSE	delivery_ad5	Blood	6	6	NA
SRR28740262	DELIVERY	FALSE	delivery_ad5	Blood	6	6	NA
SRR28740263	DELIVERY	FALSE	delivery_ad5	Blood	6	6	NA
SRR28740264	DELIVERY	FALSE	delivery_ad5	Blood	6	6	NA
SRR28740265	DELIVERY	FALSE	delivery_ad5	Blood	6	6	NA
SRR28740266	DELIVERY	FALSE	delivery_ad26	Blood	6	6	NA
SRR28740267	DELIVERY	FALSE	delivery_ad26	Blood	6	6	NA
SRR28740268	DELIVERY	FALSE	delivery_ad26	Blood	6	6	NA
SRR28740269	DELIVERY	FALSE	delivery_ad26	Blood	6	6	NA
SRR28740270	DELIVERY	FALSE	delivery_ad26	Blood	6	6	NA
SRR28740271	DELIVERY	FALSE	delivery_ad26	dLN	3	3	NA
SRR28740272	DELIVERY	FALSE	delivery_ad26	dLN	1	1	NA
SRR28740273	DELIVERY	FALSE	delivery_ad26	dLN	3	3	NA
SRR28740274	DELIVERY	FALSE	delivery_ad26	dLN	1	1	NA
SRR28740275	DELIVERY	FALSE	delivery_ad26	dLN	3	3	NA
SRR28740276	DELIVERY	FALSE	delivery_ad26	dLN	1	1	NA
SRR28740277	DELIVERY	FALSE	delivery_ad26	dLN	3	3	NA
SRR28740278	DELIVERY	FALSE	delivery_ad26	dLN	1	1	NA
SRR28740279	DELIVERY	FALSE	delivery_ad26	dLN	3	3	NA
SRR28740280	DELIVERY	FALSE	delivery_ad26	dLN	1	1	NA
SRR28740281	DELIVERY	FALSE	delivery_ad5	Blood	3	3	NA
SRR28740282	DELIVERY	FALSE	delivery_ad5	Blood	3	3	NA
SRR28740283	DELIVERY	FALSE	delivery_ad5	Blood	3	3	NA
SRR28740284	DELIVERY	FALSE	delivery_ad5	Blood	3	3	NA
SRR28740285	DELIVERY	FALSE	delivery_ad5	Blood	3	3	NA
SRR28740286	DELIVERY	FALSE	delivery_ad26	Blood	3	3	NA
SRR28740287	DELIVERY	FALSE	delivery_ad26	Blood	3	3	NA
SRR28740288	DELIVERY	FALSE	delivery_ad26	Blood	3	3	NA
SRR28740289	DELIVERY	FALSE	delivery_ad26	Blood	3	3	NA
SRR28740290	DELIVERY	FALSE	delivery_ad26	Blood	3	3	NA
SRR28740291	DELIVERY	FALSE	delivery_ad5	Muscle	1	1	NA
SRR28740292	DELIVERY	FALSE	delivery_ad5	Muscle	1	1	NA
SRR28740293	DELIVERY	FALSE	delivery_ad5	Muscle	1	1	NA
SRR28740294	DELIVERY	FALSE	delivery_ad5	Muscle	1	1	NA
SRR28740295	DELIVERY	FALSE	delivery_ad5	Muscle	1	1	NA
SRR28740296	DELIVERY	FALSE	delivery_ad26	Muscle	1	1	NA
SRR28740297	DELIVERY	FALSE	delivery_ad26	Muscle	1	1	NA
SRR28740298	DELIVERY	FALSE	delivery_ad26	Muscle	1	1	NA
SRR28740299	DELIVERY	FALSE	delivery_ad26	Muscle	1	1	NA
SRR28740300	DELIVERY	FALSE	delivery_ad26	Muscle	1	1	NA
SRR28740301	DELIVERY	FALSE	delivery_ad5	Blood	1	1	NA
SRR28740302	DELIVERY	FALSE	delivery_ad5	Blood	1	1	NA
SRR28740303	DELIVERY	FALSE	delivery_ad5	Blood	1	1	NA
SRR28740304	DELIVERY	FALSE	delivery_ad5	Blood	1	1	NA
SRR28740305	DELIVERY	FALSE	delivery_ad5	Blood	1	1	NA
SRR28740306	DELIVERY	FALSE	delivery_ad26	Blood	1	1	NA
SRR28740307	DELIVERY	FALSE	delivery_ad26	Blood	1	1	NA
SRR28740308	DELIVERY	FALSE	delivery_ad26	Blood	1	1	NA
SRR28740309	DELIVERY	FALSE	delivery_ad26	Blood	1	1	NA
SRR28740310	DELIVERY	FALSE	delivery_ad26	Blood	1	1	NA
