sample_id	group	tissue	timepoint_hr	batch
SRR28740183	delivery_ad5	Blood	12	NA
SRR28740184	delivery_ad5	Blood	12	NA
SRR28740185	delivery_ad5	Blood	12	NA
SRR28740186	delivery_ad5	Blood	12	NA
SRR28740187	delivery_ad26	Blood	12	NA
SRR28740188	delivery_ad26	Blood	12	NA
SRR28740189	delivery_ad26	Blood	12	NA
SRR28740190	delivery_ad26	Blood	12	NA
SRR28740191	delivery_ad5	dLN	72	NA
SRR28740192	delivery_ad5	dLN	72	NA
SRR28740193	delivery_ad5	dLN	72	NA
SRR28740194	delivery_ad26	dLN	72	NA
SRR28740195	delivery_ad26	dLN	72	NA
SRR28740196	delivery_ad26	dLN	72	NA
SRR28740197	delivery_ad26	dLN	72	NA
SRR28740198	delivery_ad26	dLN	72	NA
SRR28740199	baseline_0	Blood	0	NA
SRR28740200	baseline_0	Blood	0	NA
SRR28740201	baseline_0	Blood	0	NA
SRR28740202	baseline_0	Blood	0	NA
SRR28740203	baseline_0	Blood	0	NA
SRR28740204	delivery_ad5	Blood	72	NA
SRR28740205	delivery_ad5	Blood	72	NA
SRR28740206	delivery_ad5	Blood	72	NA
SRR28740207	delivery_ad5	Blood	72	NA
SRR28740208	delivery_ad5	Blood	72	NA
SRR28740209	delivery_ad26	Blood	72	NA
SRR28740210	delivery_ad26	Blood	72	NA
SRR28740211	delivery_ad5	dLN	6	NA
SRR28740212	delivery_ad5	dLN	24	NA
SRR28740213	delivery_ad26	dLN	6	NA
SRR28740214	delivery_ad26	dLN	24	NA
SRR28740215	delivery_ad26	dLN	6	NA
SRR28740216	delivery_ad26	dLN	24	NA
SRR28740217	delivery_ad26	dLN	6	NA
SRR28740218	delivery_ad26	dLN	24	NA
SRR28740219	delivery_ad26	dLN	6	NA
SRR28740220	delivery_ad26	dLN	24	NA
SRR28740221	delivery_ad26	dLN	6	NA
SRR28740222	delivery_ad26	dLN	24	NA
SRR28740223	delivery_ad5	Blood	24	NA
SRR28740224	delivery_ad5	Blood	24	NA
SRR28740225	delivery_ad5	Blood	24	NA
SRR28740226	delivery_ad5	Blood	24	NA
SRR28740227	delivery_ad5	Blood	24	NA
