sample_id	tissue	timepoint_hr	batch	condition_simple	group	raw_time_label	time_reference_event
SRR10358636	blood	24	NA	DELIVERY	bex.bex	24 h after most recent dose; after booster for prime-boost groups	most recent immunization; booster/second dose for prime-boost groups
SRR10358637	blood	24	NA	DELIVERY	bex.bex	24 h after most recent dose; after booster for prime-boost groups	most recent immunization; booster/second dose for prime-boost groups
SRR10358638	blood	24	NA	DELIVERY	bex.bex	24 h after most recent dose; after booster for prime-boost groups	most recent immunization; booster/second dose for prime-boost groups
SRR10358639	blood	24	NA	DELIVERY	mva.ad	24 h after most recent dose; after booster for prime-boost groups	most recent immunization; booster/second dose for prime-boost groups
SRR10358640	blood	24	NA	DELIVERY	mva.ad	24 h after most recent dose; after booster for prime-boost groups	most recent immunization; booster/second dose for prime-boost groups
SRR10358641	blood	24	NA	DELIVERY	mva.ad	24 h after most recent dose; after booster for prime-boost groups	most recent immunization; booster/second dose for prime-boost groups
SRR10358642	blood	24	NA	DELIVERY	mva.ad	24 h after most recent dose; after booster for prime-boost groups	most recent immunization; booster/second dose for prime-boost groups
SRR10358643	blood	24	NA	DELIVERY	mva.ad	24 h after most recent dose; after booster for prime-boost groups	most recent immunization; booster/second dose for prime-boost groups
SRR10358644	blood	24	NA	DELIVERY	mva.ad	24 h after most recent dose; after booster for prime-boost groups	most recent immunization; booster/second dose for prime-boost groups
SRR10358645	blood	24	NA	CONTROL	none	24 h after most recent dose; after booster for prime-boost groups	most recent immunization; booster/second dose for prime-boost groups
SRR10358646	blood	24	NA	CONTROL	none	24 h after most recent dose; after booster for prime-boost groups	most recent immunization; booster/second dose for prime-boost groups
SRR10358647	blood	24	NA	CONTROL	none	24 h after most recent dose; after booster for prime-boost groups	most recent immunization; booster/second dose for prime-boost groups
SRR10358648	blood	24	NA	CONTROL	none	24 h after most recent dose; after booster for prime-boost groups	most recent immunization; booster/second dose for prime-boost groups
SRR10358649	blood	24	NA	CONTROL	none	24 h after most recent dose; after booster for prime-boost groups	most recent immunization; booster/second dose for prime-boost groups
SRR10358650	blood	24	NA	CONTROL	none	24 h after most recent dose; after booster for prime-boost groups	most recent immunization; booster/second dose for prime-boost groups
SRR10358651	blood	24	NA	DELIVERY	ad.mva	24 h after most recent dose; after booster for prime-boost groups	most recent immunization; booster/second dose for prime-boost groups
SRR10358652	blood	24	NA	DELIVERY	ad.mva	24 h after most recent dose; after booster for prime-boost groups	most recent immunization; booster/second dose for prime-boost groups
SRR10358653	blood	24	NA	DELIVERY	ad.mva	24 h after most recent dose; after booster for prime-boost groups	most recent immunization; booster/second dose for prime-boost groups
SRR10358654	blood	24	NA	DELIVERY	ad.mva	24 h after most recent dose; after booster for prime-boost groups	most recent immunization; booster/second dose for prime-boost groups
SRR10358655	blood	24	NA	DELIVERY	ad.mva	24 h after most recent dose; after booster for prime-boost groups	most recent immunization; booster/second dose for prime-boost groups
SRR10358656	blood	24	NA	DELIVERY	ad.mva	24 h after most recent dose; after booster for prime-boost groups	most recent immunization; booster/second dose for prime-boost groups
SRR10358657	blood	24	NA	DELIVERY	ad_empty	24 h after most recent dose; after booster for prime-boost groups	most recent immunization; booster/second dose for prime-boost groups
SRR10358658	blood	24	NA	DELIVERY	ad_empty	24 h after most recent dose; after booster for prime-boost groups	most recent immunization; booster/second dose for prime-boost groups
SRR10358659	blood	24	NA	DELIVERY	ad_empty	24 h after most recent dose; after booster for prime-boost groups	most recent immunization; booster/second dose for prime-boost groups
SRR10358660	blood	24	NA	DELIVERY	ad_empty	24 h after most recent dose; after booster for prime-boost groups	most recent immunization; booster/second dose for prime-boost groups
SRR10358661	blood	24	NA	DELIVERY	ad_empty	24 h after most recent dose; after booster for prime-boost groups	most recent immunization; booster/second dose for prime-boost groups
