Database	Term ID	Term name	Overlap count	Tested-gene denominator	Background term count	Background denominator	Gene ratio	Background ratio	Nominal p-value	Adjusted p-value (FDR)	q-value	Mapped retained genes
GO Biological Process	GO:0009125	nucleoside monophosphate catabolic process	3	241	25	18659	0.012448132780082987	0.0013398360040731015	0.0039672918471689	0.0248350277601592	0.0191633835694971	Upp1;Pnp;Xdh
GO Biological Process	GO:0035740	CD8-positive, alpha-beta T cell proliferation	3	241	25	18659	0.012448132780082987	0.0013398360040731015	0.0039672918471689	0.0248350277601592	0.0191633835694971	Irf1;H2-T22;H2-T10
GO Biological Process	GO:0044090	positive regulation of vacuole organization	3	241	25	18659	0.012448132780082987	0.0013398360040731015	0.0039672918471689	0.0248350277601592	0.0191633835694971	Igtp;Irgm2;Irgm1
GO Biological Process	GO:2001187	positive regulation of CD8-positive, alpha-beta T cell activation	3	241	25	18659	0.012448132780082987	0.0013398360040731015	0.0039672918471689	0.0248350277601592	0.0191633835694971	Lilrb4b;H2-T22;H2-T10
GO Biological Process	GO:0030217	T cell differentiation	11	241	331	18659	0.04564315352697095	0.017739428693927865	0.003972046776223	0.0248350277601592	0.0191633835694971	Rsad2;Socs1;Igtp;Lilrb4b;Clec4e;Pnp;Lgals9;Fgl2;Irf1;Il15;Fas
GO Biological Process	GO:0001933	negative regulation of protein phosphorylation	11	241	332	18659	0.04564315352697095	0.017793022134090786	0.0040625736637484	0.0253389374479762	0.0195522140038852	Socs1;Lilrb4b;Slfn1;Daxx;Parp14;Socs3;Gbp4;Cdkn1a;Xdh;Adar;Irf1
GO Biological Process	GO:0019884	antigen processing and presentation of exogenous antigen	4	241	51	18659	0.016597510373443983	0.002733265448309127	0.0042165945834057	0.0261716126089248	0.020194728828195	Fcgr1;H2-T22;H2-T10;Tapbp
GO Biological Process	GO:0097300	programmed necrotic cell death	4	241	51	18659	0.016597510373443983	0.002733265448309127	0.0042165945834057	0.0261716126089248	0.020194728828195	Zbp1;Mlkl;Tlr3;Fas
GO Biological Process	GO:0050764	regulation of phagocytosis	6	241	118	18659	0.024896265560165973	0.0063240259392250385	0.0043206390474479	0.026752306335048	0.0206428079170355	Ccl2;Fcgr1;Fpr2;Cd300lf;Il15;Hck
GO Biological Process	GO:0052548	regulation of endopeptidase activity	11	241	336	18659	0.04564315352697095	0.018007395894742484	0.0044412909296337	0.0272419649168714	0.0210206418100434	Serpinb2;Serpina3f;Serpina3n;Stat1;Tnfsf10;Pml;Serpina3g;Xdh;S100a9;Fas;Psmb9
