sample_id	group	tissue	timepoint_hr	batch	raw_time_label	time_reference_event	ex_vivo_stimulation_h	ex_vivo_stimulation_status	ex_vivo_reference_event	repository_sample_title	group_raw	tissue_raw	time_raw	time_h	time_label	batch_raw	is_control	condition_simple	control_label	contrast_label	control_time_policy
SRR17223812	delivery_stimulated_with_m_tb_whole_cell_lysate	BALF	0	NA	baseline before vaccination	AdHu5Ag85A aerosol vaccination	12	stimulated	start of ex vivo M. tuberculosis whole-cell-lysate exposure	stimulated airway macrophage -baseline rep5	delivery_stimulated_with_m_tb_whole_cell_lysate	BALF	0	0	0h	NA	FALSE	DELIVERY	delivery_unstimulated	delivery_stimulated_with_m_tb_whole_cell_lysate__vs__delivery_unstimulated	matched_time
SRR17223814	delivery_stimulated_with_m_tb_whole_cell_lysate	BALF	0	NA	baseline before vaccination	AdHu5Ag85A aerosol vaccination	12	stimulated	start of ex vivo M. tuberculosis whole-cell-lysate exposure	stimulated airway macrophage -baseline rep4	delivery_stimulated_with_m_tb_whole_cell_lysate	BALF	0	0	0h	NA	FALSE	DELIVERY	delivery_unstimulated	delivery_stimulated_with_m_tb_whole_cell_lysate__vs__delivery_unstimulated	matched_time
SRR17223818	delivery_stimulated_with_m_tb_whole_cell_lysate	BALF	0	NA	baseline before vaccination	AdHu5Ag85A aerosol vaccination	12	stimulated	start of ex vivo M. tuberculosis whole-cell-lysate exposure	stimulated airway macrophage -baseline rep2	delivery_stimulated_with_m_tb_whole_cell_lysate	BALF	0	0	0h	NA	FALSE	DELIVERY	delivery_unstimulated	delivery_stimulated_with_m_tb_whole_cell_lysate__vs__delivery_unstimulated	matched_time
SRR17223820	delivery_stimulated_with_m_tb_whole_cell_lysate	BALF	0	NA	baseline before vaccination	AdHu5Ag85A aerosol vaccination	12	stimulated	start of ex vivo M. tuberculosis whole-cell-lysate exposure	stimulated airway macrophage -baseline rep1	delivery_stimulated_with_m_tb_whole_cell_lysate	BALF	0	0	0h	NA	FALSE	DELIVERY	delivery_unstimulated	delivery_stimulated_with_m_tb_whole_cell_lysate__vs__delivery_unstimulated	matched_time
SRR17223813	delivery_stimulated_with_m_tb_whole_cell_lysate	BALF	0	NA	baseline before vaccination	AdHu5Ag85A aerosol vaccination	12	stimulated	start of ex vivo M. tuberculosis whole-cell-lysate exposure	stimulated airway macrophage -baseline rep5	delivery_stimulated_with_m_tb_whole_cell_lysate	BALF	0	0	0h	NA	FALSE	DELIVERY	delivery_unstimulated	delivery_stimulated_with_m_tb_whole_cell_lysate__vs__delivery_unstimulated	matched_time
SRR17223816	delivery_stimulated_with_m_tb_whole_cell_lysate	BALF	0	NA	baseline before vaccination	AdHu5Ag85A aerosol vaccination	12	stimulated	start of ex vivo M. tuberculosis whole-cell-lysate exposure	stimulated airway macrophage -baseline rep3	delivery_stimulated_with_m_tb_whole_cell_lysate	BALF	0	0	0h	NA	FALSE	DELIVERY	delivery_unstimulated	delivery_stimulated_with_m_tb_whole_cell_lysate__vs__delivery_unstimulated	matched_time
SRR17223819	delivery_stimulated_with_m_tb_whole_cell_lysate	BALF	0	NA	baseline before vaccination	AdHu5Ag85A aerosol vaccination	12	stimulated	start of ex vivo M. tuberculosis whole-cell-lysate exposure	stimulated airway macrophage -baseline rep2	delivery_stimulated_with_m_tb_whole_cell_lysate	BALF	0	0	0h	NA	FALSE	DELIVERY	delivery_unstimulated	delivery_stimulated_with_m_tb_whole_cell_lysate__vs__delivery_unstimulated	matched_time
SRR17223821	delivery_stimulated_with_m_tb_whole_cell_lysate	BALF	0	NA	baseline before vaccination	AdHu5Ag85A aerosol vaccination	12	stimulated	start of ex vivo M. tuberculosis whole-cell-lysate exposure	stimulated airway macrophage -baseline rep1	delivery_stimulated_with_m_tb_whole_cell_lysate	BALF	0	0	0h	NA	FALSE	DELIVERY	delivery_unstimulated	delivery_stimulated_with_m_tb_whole_cell_lysate__vs__delivery_unstimulated	matched_time
SRR17223815	delivery_stimulated_with_m_tb_whole_cell_lysate	BALF	0	NA	baseline before vaccination	AdHu5Ag85A aerosol vaccination	12	stimulated	start of ex vivo M. tuberculosis whole-cell-lysate exposure	stimulated airway macrophage -baseline rep4	delivery_stimulated_with_m_tb_whole_cell_lysate	BALF	0	0	0h	NA	FALSE	DELIVERY	delivery_unstimulated	delivery_stimulated_with_m_tb_whole_cell_lysate__vs__delivery_unstimulated	matched_time
SRR17223817	delivery_stimulated_with_m_tb_whole_cell_lysate	BALF	0	NA	baseline before vaccination	AdHu5Ag85A aerosol vaccination	12	stimulated	start of ex vivo M. tuberculosis whole-cell-lysate exposure	stimulated airway macrophage -baseline rep3	delivery_stimulated_with_m_tb_whole_cell_lysate	BALF	0	0	0h	NA	FALSE	DELIVERY	delivery_unstimulated	delivery_stimulated_with_m_tb_whole_cell_lysate__vs__delivery_unstimulated	matched_time
